seq1,seq2,similarity
111,174,0.62800485
101,178,0.4105609
111,181,0.65971494
107,151,0.38085586
113,116,0.4408496
156,170,0.392847
164,190,0.41750836
106,118,0.47830516
106,155,0.63246065
174,177,0.54492855
115,119,0.6261344
149,171,0.48555973
108,132,0.38255385
100,139,0.42600104
100,177,0.46347138
183,198,0.4949713
165,194,0.46208903
105,149,0.39958817
105,170,0.34841266
114,189,0.35378537
144,175,0.5593817
144,193,0.429824
160,173,0.26910195
110,121,0.4517978
162,199,0.6853283
190,199,0.6392558
127,145,0.3617623
127,160,0.14888003
176,177,0.35482982
131,179,0.4282613
140,196,0.45437583
134,188,0.4553076
163,180,0.6280599
152,177,0.43768856
128,189,0.65252256
126,158,0.49023595
130,164,0.48184317
142,188,0.5959161
177,192,0.42830637
138,175,0.5773736
139,178,0.4745582
112,128,0.5087467
119,146,0.5818253
133,198,0.45216593
129,166,0.49209532
132,170,0.34900832
27,195,0.38554117
27,183,0.44849822
35,72,0.685441
35,192,0.63233554
89,117,0.40184617
23,185,0.4453319
23,61,0.5022275
97,141,0.47971138
97,131,0.38039306
3,156,0.5810446
3,126,0.6753938
3,192,0.5544367
80,171,0.7664295
80,160,0.32958797
42,63,0.26927277
42,100,0.43676087
98,108,0.38539264
0,35,0.34863284
0,155,0.3184467
0,21,0.18926221
66,82,0.6022503
26,51,0.58615935
26,143,0.6017947
10,22,0.53428626
10,119,0.716007
10,166,0.63699967
73,176,0.35645667
92,147,0.38063696
92,135,0.47008592
56,88,0.54086566
56,194,0.34075162
72,150,0.5202711
64,116,0.5171861
64,83,0.5979348
39,119,0.72573733
39,97,0.48363838
39,188,0.46977073
50,95,0.37079102
50,144,0.55776286
19,165,0.4720123
19,150,0.62422335
19,30,0.635281
20,134,0.5373965
20,120,0.83895534
20,174,0.75007194
21,46,0.37364486
21,165,0.40285364
55,104,0.83317536
55,196,0.42846727
85,134,0.3281829
54,161,0.48471767
54,196,0.327778
90,194,0.3801727
13,163,0.61931914
34,81,0.5960683
34,56,0.48057494
34,126,0.5186698
13,104,0.6102477
68,172,0.38840407
68,175,0.6821858
68,181,0.63702905
29,145,0.42600462
29,154,0.4036546
17,116,0.4802301
17,150,0.5986918
17,33,0.45409977
69,95,0.41256902
4,68,0.66402507
4,157,0.428576
4,59,0.51451766
69,161,0.46617454
5,40,0.5476246
75,107,0.5572083
5,43,0.44725785
75,128,0.6103002
8,69,0.40879497
94,198,0.51324236
8,193,0.38654098
8,64,0.40876395
71,80,0.63289475
71,82,0.5688167
71,105,0.4425449
71,87,0.59187865
12,116,0.5811766
12,68,0.48073813
76,122,0.4698266
12,94,0.4908873
25,194,0.36945173
25,30,0.6317983
25,108,0.46369377
25,95,0.5384037
7,176,0.34620827
7,109,0.5033352
7,55,0.65912586
